name,price,originalPrice,category,subcategory,brand,description,mainImage,images,rating,reviews,weight,simpleFlavors,variants,featured,trending,bestSeller,lovedByExperts,onSale,shopByGoal,nutritionInfo,ingredients,certifications,nutritionImage,slug
DENIS JAMES Hair Color,899,1199,WELLNESS,Hair Care,DENIS JAMES,Professional hair color,https://yourwebsite.com/products/denis-james-hair-color/main.jpg,"https://yourwebsite.com/products/denis-james-hair-color/main.jpg",4.0,125,1 kit,"Dark Brown,Light Brown,Black",{},TRUE,FALSE,FALSE,FALSE,TRUE,HEALTH_WELLNESS,"Permanent Hair Color, Ammonia-Free","Hair Colorant, Developer, Conditioner",Professional Grade,,denis-james-hair-color
DEXTER JACKSON Protein,3199,3699,SPORTS NUTRITION,Proteins,DEXTER JACKSON,Premium whey protein,https://yourwebsite.com/products/dexter-jackson-protein/main.jpg,"https://yourwebsite.com/products/dexter-jackson-protein/main.jpg",4.4,180,2kg,"Chocolate,Vanilla,Cookies",{},TRUE,FALSE,FALSE,TRUE,TRUE,MUSCLE_GAIN,"Per serving (32g): 25g Protein, 120 Calories","Whey Protein Isolate, Whey Protein Concentrate",FDA Approved,,dexter-jackson-protein
EXALT Pre-Workout,2499,2999,SPORTS NUTRITION,Pre/Post Workout,EXALT,Explosive pre-workout formula,https://yourwebsite.com/products/exalt-pre-workout/main.jpg,"https://yourwebsite.com/products/exalt-pre-workout/main.jpg",4.3,200,300g,"Fruit Punch,Blue Razz",{},TRUE,TRUE,TRUE,FALSE,TRUE,ENERGY_PERFORMANCE,"Per serving (10g): 200mg Caffeine, 3g Beta-Alanine","Caffeine Anhydrous, Beta-Alanine",NSF Certified,,exalt-pre-workout
MI (MUSCLE IMPACT NUTRITION) Amino,1899,2299,SPORTS NUTRITION,Amino Acids,MI (MUSCLE IMPACT NUTRITION),Essential amino acids for recovery,https://yourwebsite.com/products/mi-muscle-impact-nutrition-amino/main.jpg,"https://yourwebsite.com/products/mi-muscle-impact-nutrition-amino/main.jpg",4.1,120,500g,"Orange,Lemon",{},FALSE,FALSE,TRUE,TRUE,FALSE,MUSCLE_GAIN,"Per serving (15g): 7g BCAA, 10 Calories","L-Leucine, L-Isoleucine, L-Valine",Quality Tested,,mi-muscle-impact-nutrition-amino
NUTRAMARC Mass Gainer,3299,3799,SPORTS NUTRITION,Gainers,NUTRAMARC,High-calorie mass gainer,https://yourwebsite.com/products/nutramarc-mass-gainer/main.jpg,"https://yourwebsite.com/products/nutramarc-mass-gainer/main.jpg",4.2,89,3kg,"Chocolate,Vanilla",{},FALSE,TRUE,FALSE,FALSE,FALSE,MUSCLE_GAIN,"Per serving (100g): 50g Protein, 1000 Calories","Whey Protein Concentrate, Maltodextrin",GMP Certified,,nutramarc-mass-gainer
REDCON Pre-Workout,2699,3199,SPORTS NUTRITION,Pre/Post Workout,REDCON,Military-grade pre-workout,https://yourwebsite.com/products/redcon-pre-workout/main.jpg,"https://yourwebsite.com/products/redcon-pre-workout/main.jpg",4.4,165,240g,"Tiger's Blood,Blue Lemonade",{},FALSE,TRUE,TRUE,TRUE,FALSE,ENERGY_PERFORMANCE,"Per serving (14g): 350mg Caffeine, 3.2g Beta-Alanine","Caffeine, Beta-Alanine, Citrulline Malate",GMP Certified,,redcon-pre-workout
RULE ONE Protein,2899,3399,SPORTS NUTRITION,Proteins,RULE ONE,Premium whey isolate,https://yourwebsite.com/products/rule-one-protein/main.jpg,"https://yourwebsite.com/products/rule-one-protein/main.jpg",4.3,165,2kg,"Chocolate Fudge,Vanilla Creme",{},FALSE,TRUE,TRUE,TRUE,FALSE,MUSCLE_GAIN,"Per serving (32g): 25g Protein, 110 Calories","Whey Protein Isolate, Natural Flavors",FDA Approved,,rule-one-protein
ATOM BCAA,1799,2199,SPORTS NUTRITION,Amino Acids,ATOM,Premium BCAA formula,https://yourwebsite.com/products/atom-bcaa/main.jpg,"https://yourwebsite.com/products/atom-bcaa/main.jpg",4.4,185,420g,"Blue Razz,Mango",{},TRUE,TRUE,TRUE,FALSE,FALSE,MUSCLE_GAIN,"Per serving (14g): 7g BCAA, 0 Calories","BCAA 2:1:1, L-Glutamine, Citrulline Malate",NSF Certified,,atom-bcaa
TRUE BASICS Fish Oil,799,999,VITAMINS & SUPPLEMENTS,Omega Fatty Acids,TRUE BASICS,Premium omega-3 fish oil,https://yourwebsite.com/products/true-basics-fish-oil/main.jpg,"https://yourwebsite.com/products/true-basics-fish-oil/main.jpg",4.3,150,120 capsules,,{},TRUE,FALSE,TRUE,TRUE,FALSE,HEALTH_WELLNESS,"Per capsule: 1000mg Fish Oil, 300mg EPA","Fish Oil, EPA, DHA, Gelatin Capsule",FDA Approved,,true-basics-fish-oil
CLOMA PHARMA Multivitamin,599,799,VITAMINS & SUPPLEMENTS,Multivitamins,CLOMA PHARMA,Complete daily multivitamin,https://yourwebsite.com/products/cloma-pharma-multivitamin/main.jpg,"https://yourwebsite.com/products/cloma-pharma-multivitamin/main.jpg",4.2,180,60 tablets,,{},FALSE,TRUE,FALSE,FALSE,FALSE,HEALTH_WELLNESS,"Per tablet: 25 Essential Vitamins & Minerals","Vitamin A, C, D, E, B-Complex, Calcium",Quality Certified,,cloma-pharma-multivitamin
CONDEMNED Vitamin D,599,799,VITAMINS & SUPPLEMENTS,Multivitamins,CONDEMNED,Vitamin D3 supplement,https://yourwebsite.com/products/condemned-vitamin-d/main.jpg,"https://yourwebsite.com/products/condemned-vitamin-d/main.jpg",4.5,200,60 tablets,,{},FALSE,FALSE,TRUE,TRUE,FALSE,HEALTH_WELLNESS,"Per tablet: 2000 IU Vitamin D3","Cholecalciferol (Vitamin D3)",FDA Approved,,condemned-vitamin-d
MUSCLEMEDS Vitamin C,499,699,VITAMINS & SUPPLEMENTS,Multivitamins,MUSCLEMEDS,Vitamin C immune support,https://yourwebsite.com/products/musclemeds-vitamin-c/main.jpg,"https://yourwebsite.com/products/musclemeds-vitamin-c/main.jpg",4.3,180,90 tablets,,{},TRUE,TRUE,TRUE,FALSE,TRUE,HEALTH_WELLNESS,"Per tablet: 1000mg Vitamin C","Ascorbic Acid, Rose Hips, Citrus Bioflavonoids",Quality Tested,,musclemeds-vitamin-c
FA ICE HYDRO B-Complex,699,899,VITAMINS & SUPPLEMENTS,Multivitamins,FA ICE HYDRO,B-complex vitamin supplement,https://yourwebsite.com/products/fa-ice-hydro-b-complex/main.jpg,"https://yourwebsite.com/products/fa-ice-hydro-b-complex/main.jpg",4.2,150,60 tablets,,{},FALSE,TRUE,FALSE,TRUE,FALSE,ENERGY_PERFORMANCE,"Per tablet: B1, B2, B6, B12, Niacin","B-Vitamin Complex, Microcrystalline Cellulose",FDA Approved,,fa-ice-hydro-b-complex
ANDROPIQUE Iron,399,599,VITAMINS & SUPPLEMENTS,Multivitamins,ANDROPIQUE,Iron deficiency supplement,https://yourwebsite.com/products/andropique-iron/main.jpg,"https://yourwebsite.com/products/andropique-iron/main.jpg",4.0,120,90 tablets,,{},TRUE,FALSE,TRUE,FALSE,TRUE,HEALTH_WELLNESS,"Per tablet: 18mg Iron, 60mg Vitamin C","Ferrous Sulfate, Ascorbic Acid",Quality Tested,,andropique-iron
ACE BLEND Calcium,799,999,VITAMINS & SUPPLEMENTS,Multivitamins,ACE BLEND,Calcium bone health,https://yourwebsite.com/products/ace-blend-calcium/main.jpg,"https://yourwebsite.com/products/ace-blend-calcium/main.jpg",4.3,140,120 tablets,,{},FALSE,TRUE,FALSE,TRUE,FALSE,HEALTH_WELLNESS,"Per tablet: 600mg Calcium, 400 IU Vitamin D","Calcium Carbonate, Vitamin D3",FDA Approved,,ace-blend-calcium
MYODROL Zinc,299,399,VITAMINS & SUPPLEMENTS,Multivitamins,MYODROL,Zinc immune support,https://yourwebsite.com/products/myodrol-zinc/main.jpg,"https://yourwebsite.com/products/myodrol-zinc/main.jpg",4.4,190,60 tablets,,{},TRUE,FALSE,TRUE,TRUE,TRUE,HEALTH_WELLNESS,"Per tablet: 15mg Zinc","Zinc Gluconate, Microcrystalline Cellulose",Quality Tested,,myodrol-zinc
FUEL ONE Magnesium,699,899,VITAMINS & SUPPLEMENTS,Multivitamins,FUEL ONE,Magnesium relaxation,https://yourwebsite.com/products/fuel-one-magnesium/main.jpg,"https://yourwebsite.com/products/fuel-one-magnesium/main.jpg",4.2,130,90 capsules,,{},FALSE,FALSE,FALSE,TRUE,TRUE,HEALTH_WELLNESS,"Per capsule: 400mg Magnesium","Magnesium Glycinate, Vegetable Capsule",FDA Approved,,fuel-one-magnesium
NAKPRO PROTEIN Omega 3,899,1199,VITAMINS & SUPPLEMENTS,Omega Fatty Acids,NAKPRO PROTEIN,Pure omega-3 supplement,https://yourwebsite.com/products/nakpro-protein-omega-3/main.jpg,"https://yourwebsite.com/products/nakpro-protein-omega-3/main.jpg",4.5,170,120 capsules,,{},TRUE,TRUE,TRUE,TRUE,FALSE,HEALTH_WELLNESS,"Per capsule: 1000mg Omega-3, 500mg EPA","Omega-3 Fatty Acids, EPA, DHA",Quality Tested,,nakpro-protein-omega-3
AESTHETIC NUTRITION Melatonin,399,599,VITAMINS & SUPPLEMENTS,Multivitamins,AESTHETIC NUTRITION,Melatonin sleep aid,https://yourwebsite.com/products/aesthetic-nutrition-melatonin/main.jpg,"https://yourwebsite.com/products/aesthetic-nutrition-melatonin/main.jpg",4.0,95,60 tablets,,{},TRUE,FALSE,FALSE,FALSE,FALSE,HEALTH_WELLNESS,"Per tablet: 3mg Melatonin","Melatonin, Microcrystalline Cellulose",Quality Tested,,aesthetic-nutrition-melatonin
MONSTER LAB Fat Burner,1999,2499,VITAMINS & SUPPLEMENTS,Fat Burners,MONSTER LAB,Advanced fat burning formula,https://yourwebsite.com/products/monster-lab-fat-burner/main.jpg,"https://yourwebsite.com/products/monster-lab-fat-burner/main.jpg",4.1,75,60 capsules,,{},FALSE,FALSE,FALSE,TRUE,TRUE,WEIGHT_LOSS,"Per capsule: 400mg Green Coffee Extract","Green Coffee Bean Extract, Caffeine Anhydrous",FDA Approved,,monster-lab-fat-burner
ONE SCIENCE L-Carnitine,1299,1599,VITAMINS & SUPPLEMENTS,Fat Burners,ONE SCIENCE,L-Carnitine fat burner,https://yourwebsite.com/products/one-science-l-carnitine/main.jpg,"https://yourwebsite.com/products/one-science-l-carnitine/main.jpg",4.1,105,90 capsules,,{},TRUE,TRUE,FALSE,FALSE,FALSE,WEIGHT_LOSS,"Per capsule: 500mg L-Carnitine","L-Carnitine Tartrate, Vegetable Capsule",Quality Tested,,one-science-l-carnitine
